Instance, Budget, PopSize(2 8 20 60 100), Info(0 total uncertainty...7 no uncertainty), nb evaluation, AVG dist, MaxMin, PR
T0, 20, 2, 4, 20, 2011.84, 2201.15, 0
T0, 20, 8, 1, 20, 8047.61, 9084.32, 0
T0, 20, 20, 2, 20, 12039.5, 12948.7, 0
T0, 20, 60, 0, 20, 13079.1, 13637.9, 0
T0, 20, 100, 1, 20, 13125.5, 14195.7, 0
T0, 60, 2, 3, 37.1333, 380.192, 708.745, 28.8889
T0, 60, 8, 2, 60, 2914.99, 3866.4, 0
T0, 60, 20, 2, 60, 7694.84, 8417.08, 0
T0, 60, 60, 1, 60, 11090.4, 12142.1, 0
T0, 60, 100, 1, 60, 11265.5, 12321.3, 0
T0, 100, 2, 3, 37.1333, 380.192, 708.745, 28.8889
T0, 100, 8, 3, 100, 865.813, 1082.57, 2.22222
T0, 100, 20, 2, 100, 5038.45, 5684.3, 0
T0, 100, 60, 1, 100, 9595.7, 10561.3, 0
T0, 100, 100, 1, 100, 10535.6, 11558.7, 0
T0, 140, 2, 3, 37.1333, 380.192, 708.745, 28.8889
T0, 140, 8, 3, 137.533, 254.448, 521.73, 41.1111
T0, 140, 20, 2, 140, 3381.91, 4118.3, 0
T0, 140, 60, 1, 140, 7892.1, 8871.81, 0
T0, 140, 100, 1, 140, 9592.73, 10646.2, 0
T0, 420, 2, 3, 37.1333, 380.192, 708.745, 28.8889
T0, 420, 8, 3, 154.6, 114.83, 256.867, 73.3333
T0, 420, 20, 3, 377.733, 103.123, 233.86, 74.4445
T0, 420, 60, 1, 420, 3101.24, 4199.21, 0
T0, 420, 100, 2, 420, 5135.51, 5779.28, 0
T0, 820, 2, 3, 37.1333, 380.192, 708.745, 28.8889
T0, 820, 8, 3, 154.6, 114.83, 256.867, 73.3333
T0, 820, 20, 3, 383.333, 86.1552, 199.858, 75.5556
T0, 820, 60, 3, 820, 548.369, 744.493, 4.44444
T0, 820, 100, 2, 820, 2261.15, 3107.92, 0
T0, 1220, 2, 3, 37.1333, 380.192, 708.745, 28.8889
T0, 1220, 8, 3, 154.6, 114.83, 256.867, 73.3333
T0, 1220, 20, 3, 383.333, 86.1552, 199.858, 75.5556
T0, 1220, 60, 3, 1132.5, 4.99011, 14.9703, 98.8889
T0, 1220, 100, 3, 1220, 797.569, 980.026, 1.11111
T0, 4020, 2, 3, 37.1333, 380.192, 708.745, 28.8889
T0, 4020, 8, 3, 154.6, 114.83, 256.867, 73.3333
T0, 4020, 20, 3, 383.333, 86.1552, 199.858, 75.5556
