Budget, Instance, Diversification(0: no 1: yes), PopSize(2 8 20 60 100), Info(0 total uncertainty...7 no uncertainty), AVG dist, MaxMin, PR
20, T0, 0, 2, 7, 892.829, 892.829, 0
20, T1, 0, 2, 6, 682.704, 682.704, 6.66667
20, T2, 0, 2, 5, 538.624, 573.186, 1.66667
20, T3, 0, 2, 6, 379.748, 423.409, 0
20, T4, 0, 2, 6, 608.341, 775.534, 6.66667
20, T5, 0, 2, 6, 568.687, 568.687, 3.33333

60, T0, 1, 2, 3, 380.192, 708.745, 28.8889
60, T1, 1, 2, 3, 230.296, 453.581, 30.6667
60, T2, 0, 8, 5, 517.439, 553.78, 5
60, T3, 1, 2, 6, 204.313, 242.237, 6.66667
60, T4, 1, 2, 3, 247.258, 444.482, 22.2222
60, T5, 1, 2, 4, 247.311, 247.311, 6.66667

100, T0, 1, 2, 3, 380.192, 708.745, 28.8889
100, T1, 1, 2, 3, 230.296, 453.581, 30.6667
100, T2, 0, 8, 5, 517.439, 553.78, 5
100, T3, 1, 2, 6, 204.313, 242.237, 6.66667
100, T4, 1, 2, 3, 247.258, 444.482, 22.2222
100, T5, 1, 2, 4, 254.707, 254.707, 6.66667

140, T0, 1, 8, 3, 254.448, 521.73, 41.1111
140, T1, 1, 8, 3, 151.72, 342.89, 45.3333
140, T2, 1, 8, 5, 350.735, 379.658, 31.6667
140, T3, 1, 8, 6, 179.629, 215.271, 25
140, T4, 0, 8, 2, 187.634, 536.856, 25.641
140, T5, 0, 8, 1, 254.644, 1010.3, 14.3333

420, T0, 1, 20, 3, 103.123, 233.86, 74.4445
420, T1, 1, 20, 3, 43.9029, 111.633, 74.6667
420, T2, 1, 20, 4, 103.907, 118.04, 66.6667
420, T3, 1, 20, 5, 72.8096, 86.7479, 63.3333
420, T4, 1, 20, 3, 57.3616, 133.927, 64.4444
420, T5, 1, 20, 1, 207.183, 864.836, 21.2222

820, T0, 1, 20, 3, 86.1552, 199.858, 75.5556
820, T1, 1, 20, 3, 37.8448, 91.6932, 76
820, T2, 1, 20, 4, 84.5731, 96.081, 73.3333
820, T3, 1, 20, 5, 72.8096, 86.7479, 63.3333
820, T4, 1, 20, 3, 55.1117, 132.815, 65.5555
820, T5, 0, 60, 0, 116.14, 1891.31, 39.2892

1220, T0, 1, 60, 3, 4.99011, 14.9703, 98.8889
1220, T1, 1, 60, 3, 21.6491, 61.6329, 85.3333
1220, T2, 1, 60, 5, 24.5372, 29.2506, 91.6667
1220, T3, 1, 60, 4, 14.9829, 29.934, 95.5555
1220, T4, 1, 60, 3, 44.4322, 104.292, 74.4444
1220, T5, 0, 100, 0, 107.578, 1845.59, 42.598

4020, T0, 1, 60, 3, 0, 0, 100
4020, T1, 1, 100, 6, 0, 0, 100
4020, T2, 1, 60, 4, 0, 0, 100
4020, T3, 1, 100, 4, 5.22021, 6.77659, 96.6667
4020, T4, 1, 100, 5, 5.63728, 11.2746, 96.6667
4020, T5, 1, 100, 0, 74.3329, 1518.99, 52.0343
