@RELATION eval  
   
@ATTRIBUTE Type NUMERIC 
@ATTRIBUTE Size {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
0,100,0.556,0.005,0.02,1.0,0,0.16,0.342,0.0,0
0,100,0.556,0.005,0.02,0.451,0,0.116,0.175,0.0,0
0,100,0.556,0.005,0.02,0.313,0,0.103,0.139,0.0,0
0,100,0.556,0.005,0.02,0.129,0,0.069,0.087,0.018,0
0,100,0.556,0.005,0.02,0.089,0,0.043,0.043,0.036,0
0,100,0.556,0.005,0.02,0.048,0,0.035,0.035,0.036,0
0,100,0.556,0.005,0.02,0.041,0,0.035,0.035,0.036,0
0,100,0.556,0.005,0.02,0.0,0,0.036,0.036,0.036,0
0,100,0.556,0.005,0.082,1.0,0,0.42,0.462,0.0,0
0,100,0.556,0.005,0.082,0.451,0,0.275,0.299,0.0,0
0,100,0.556,0.005,0.082,0.313,0,0.218,0.23,0.0,0
0,100,0.556,0.005,0.082,0.129,0,0.093,0.108,0.0,0
0,100,0.556,0.005,0.082,0.089,0,0.056,0.056,0.036,0
0,100,0.556,0.005,0.082,0.048,0,0.036,0.036,0.036,0
0,100,0.556,0.005,0.082,0.041,0,0.037,0.037,0.036,0
0,100,0.556,0.005,0.082,0.0,0,0.036,0.036,0.036,0
0,100,0.556,0.005,0.204,1.0,0,0.463,0.499,0.0,0
0,100,0.556,0.005,0.204,0.451,0,0.269,0.295,0.0,0
0,100,0.556,0.005,0.204,0.313,0,0.22,0.233,0.0,0
0,100,0.556,0.005,0.204,0.129,0,0.093,0.108,0.0,0
0,100,0.556,0.005,0.204,0.089,0,0.056,0.056,0.036,0
0,100,0.556,0.005,0.204,0.048,0,0.036,0.036,0.036,0
0,100,0.556,0.005,0.204,0.041,0,0.037,0.037,0.036,0
0,100,0.556,0.005,0.204,0.0,0,0.036,0.036,0.036,0
0,100,0.556,0.005,0.612,1.0,0,0.464,0.501,0.0,0
0,100,0.556,0.005,0.612,0.451,0,0.269,0.296,0.0,0
0,100,0.556,0.005,0.612,0.313,0,0.22,0.233,0.0,0
0,100,0.556,0.005,0.612,0.129,0,0.093,0.108,0.0,0
0,100,0.556,0.005,0.612,0.089,0,0.056,0.056,0.036,0
0,100,0.556,0.005,0.612,0.048,0,0.036,0.036,0.036,0
0,100,0.556,0.005,0.612,0.041,0,0.037,0.037,0.036,0
0,100,0.556,0.005,0.612,0.0,0,0.036,0.036,0.036,0
0,100,0.556,0.005,1.02,1.0,0,0.464,0.501,0.0,0
0,100,0.556,0.005,1.02,0.451,0,0.269,0.296,0.0,0
0,100,0.556,0.005,1.02,0.313,0,0.22,0.233,0.0,0
0,100,0.556,0.005,1.02,0.129,0,0.093,0.108,0.0,0
0,100,0.556,0.005,1.02,0.089,0,0.056,0.056,0.036,0
0,100,0.556,0.005,1.02,0.048,0,0.036,0.036,0.036,0
0,100,0.556,0.005,1.02,0.041,0,0.037,0.037,0.036,0
0,100,0.556,0.005,1.02,0.0,0,0.036,0.036,0.036,0
0,100,0.556,0.015,0.02,1.0,0,0.061,0.29,0.002,0
0,100,0.556,0.015,0.02,0.451,0,0.029,0.085,0.025,0
0,100,0.556,0.015,0.02,0.313,0,0.028,0.072,0.045,0
0,100,0.556,0.015,0.02,0.129,0,0.037,0.06,0.08,0
0,100,0.556,0.015,0.02,0.089,0,0.019,0.019,0.071,0
0,100,0.556,0.015,0.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.015,0.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.015,0.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.015,0.082,1.0,0,0.163,0.321,0.0,0
0,100,0.556,0.015,0.082,0.451,0,0.078,0.115,0.001,0
0,100,0.556,0.015,0.082,0.313,0,0.051,0.076,0.007,0
0,100,0.556,0.015,0.082,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.015,0.082,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.015,0.082,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.015,0.082,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.015,0.082,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.015,0.204,1.0,0,0.277,0.331,0.0,0
0,100,0.556,0.015,0.204,0.451,0,0.094,0.127,0.001,0
0,100,0.556,0.015,0.204,0.313,0,0.062,0.085,0.01,0
0,100,0.556,0.015,0.204,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.015,0.204,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.015,0.204,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.015,0.204,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.015,0.204,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.015,0.612,1.0,0,0.287,0.341,0.0,0
0,100,0.556,0.015,0.612,0.451,0,0.093,0.126,0.001,0
0,100,0.556,0.015,0.612,0.313,0,0.062,0.084,0.01,0
0,100,0.556,0.015,0.612,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.015,0.612,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.015,0.612,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.015,0.612,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.015,0.612,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.015,1.02,1.0,0,0.287,0.341,0.0,0
0,100,0.556,0.015,1.02,0.451,0,0.093,0.126,0.001,0
0,100,0.556,0.015,1.02,0.313,0,0.062,0.084,0.01,0
0,100,0.556,0.015,1.02,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.015,1.02,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.015,1.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.015,1.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.015,1.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.025,0.02,1.0,0,0.051,0.259,0.004,0
0,100,0.556,0.025,0.02,0.451,0,0.029,0.084,0.025,0
0,100,0.556,0.025,0.02,0.313,0,0.028,0.072,0.045,0
0,100,0.556,0.025,0.02,0.129,0,0.037,0.06,0.08,0
0,100,0.556,0.025,0.02,0.089,0,0.019,0.019,0.071,0
0,100,0.556,0.025,0.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.025,0.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.025,0.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.025,0.082,1.0,0,0.087,0.323,0.004,0
0,100,0.556,0.025,0.082,0.451,0,0.025,0.071,0.051,0
0,100,0.556,0.025,0.082,0.313,0,0.021,0.06,0.126,0
0,100,0.556,0.025,0.082,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.025,0.082,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.025,0.082,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.025,0.082,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.025,0.082,0.0,0,0.035,0.035,0.036,0
