@RELATION eval

@ATTRIBUTE Type  {A,B,C,D}
@ATTRIBUTE Size  {100,200}
@ATTRIBUTE Instance NUMERIC
@ATTRIBUTE Budget NUMERIC
@ATTRIBUTE PopSize NUMERIC
@ATTRIBUTE Info NUMERIC
@ATTRIBUTE nb_evaluation NUMERIC
@ATTRIBUTE AVG_dist NUMERIC
@ATTRIBUTE MaxMin NUMERIC
@ATTRIBUTE PR NUMERIC
@ATTRIBUTE Diversification {1,0}

@DATA
A,  100,  0,  20,  2,  90,  20,  3641.56,  6897.19,  0,  0
A,  100,  0,  20,  2,  40.6012,  20,  2877.38,  4897.25,  0,  0
A,  100,  0,  20,  2,  28.1257,  20,  2590.88,  4148.36,  0,  0
A,  100,  0,  20,  2,  11.5757,  19.9333,  1553.51,  1837.64,  0,  0
A,  100,  0,  20,  2,  8.01411,  20,  1241.62,  1528.68,  0,  0
A,  100,  0,  20,  2,  4.2937,  19.6667,  1027.3,  1027.3,  0,  0
A,  100,  0,  20,  2,  3.73078,  19.4333,  987.569,  987.569,  0,  0
A,  100,  0,  20,  2,  0,  17.5333,  892.829,  892.829,  0,  0
A,  100,  0,  20,  8,  90,  20,  8772.8,  9484.79,  0,  0
A,  100,  0,  20,  8,  40.6012,  20,  6765.92,  7892.94,  0,  0
A,  100,  0,  20,  8,  28.1257,  20,  5154.32,  6081.54,  0,  0
A,  100,  0,  20,  8,  11.5757,  20,  2118.55,  2368.13,  0,  0
A,  100,  0,  20,  8,  8.01411,  20,  1594.78,  1834.44,  0,  0
A,  100,  0,  20,  8,  4.2937,  19.6667,  1115.58,  1115.58,  0,  0
A,  100,  0,  20,  8,  3.73078,  19.4667,  1106.78,  1106.78,  0,  0
A,  100,  0,  20,  8,  0,  17.5333,  892.829,  892.829,  0,  0
A,  100,  0,  20,  20,  90,  20,  9737.16,  10453.7,  0,  0
A,  100,  0,  20,  20,  40.6012,  20,  6804.62,  7863.15,  0,  0
A,  100,  0,  20,  20,  28.1257,  20,  5362.23,  6323.33,  0,  0
A,  100,  0,  20,  20,  11.5757,  20,  2121.17,  2371,  0,  0
A,  100,  0,  20,  20,  8.01411,  20,  1596,  1835.01,  0,  0
A,  100,  0,  20,  20,  4.2937,  19.6667,  1115.58,  1115.58,  0,  0
A,  100,  0,  20,  20,  3.73078,  19.4667,  1106.78,  1106.78,  0,  0
A,  100,  0,  20,  20,  0,  17.5333,  892.829,  892.829,  0,  0
A,  100,  0,  20,  60,  90,  20,  9684.8,  10385.5,  0,  0
A,  100,  0,  20,  60,  40.6012,  20,  6804.62,  7863.15,  0,  0
A,  100,  0,  20,  60,  28.1257,  20,  5362.23,  6323.33,  0,  0
A,  100,  0,  20,  60,  11.5757,  20,  2121.17,  2371,  0,  0
A,  100,  0,  20,  60,  8.01411,  20,  1596,  1835.01,  0,  0
A,  100,  0,  20,  60,  4.2937,  19.6667,  1115.58,  1115.58,  0,  0
A,  100,  0,  20,  60,  3.73078,  19.4667,  1106.78,  1106.78,  0,  0
A,  100,  0,  20,  60,  0,  17.5333,  892.829,  892.829,  0,  0
A,  100,  0,  20,  100,  90,  20,  9684.8,  10385.5,  0,  0
A,  100,  0,  20,  100,  40.6012,  20,  6804.62,  7863.15,  0,  0
A,  100,  0,  20,  100,  28.1257,  20,  5362.23,  6323.33,  0,  0
A,  100,  0,  20,  100,  11.5757,  20,  2121.17,  2371,  0,  0
A,  100,  0,  20,  100,  8.01411,  20,  1596,  1835.01,  0,  0
A,  100,  0,  20,  100,  4.2937,  19.6667,  1115.58,  1115.58,  0,  0
A,  100,  0,  20,  100,  3.73078,  19.4667,  1106.78,  1106.78,  0,  0
A,  100,  0,  20,  100,  0,  17.5333,  892.829,  892.829,  0,  0
A,  100,  0,  60,  2,  90,  59.0667,  1436.33,  5539.51,  1.14667,  0
A,  100,  0,  60,  2,  40.6012,  45.0333,  1021.99,  3369.69,  2.82828,  0
A,  100,  0,  60,  2,  28.1257,  39.7667,  867.228,  2750.01,  1.80556,  0
A,  100,  0,  60,  2,  11.5757,  27.8333,  552.765,  871.844,  4.44444,  0
A,  100,  0,  60,  2,  8.01411,  25.6,  543.423,  873.95,  2.22222,  0
A,  100,  0,  60,  2,  4.2937,  21.7667,  727.6,  727.6,  0,  0
A,  100,  0,  60,  2,  3.73078,  21.5333,  723.856,  723.856,  0,  0
A,  100,  0,  60,  2,  0,  17.5667,  890.92,  890.92,  0,  0
A,  100,  0,  60,  8,  90,  60,  3979.15,  6463.92,  0,  0
A,  100,  0,  60,  8,  40.6012,  60,  2557.17,  4541.38,  0.20202,  0
A,  100,  0,  60,  8,  28.1257,  59.4,  1601.26,  2977.46,  0.555556,  0
A,  100,  0,  60,  8,  11.5757,  36.1,  495.226,  810.988,  10,  0
A,  100,  0,  60,  8,  8.01411,  29.3667,  539.659,  871.87,  2.22222,  0
A,  100,  0,  60,  8,  4.2937,  22.4,  727.6,  727.6,  0,  0
A,  100,  0,  60,  8,  3.73078,  21.8,  712.705,  712.705,  0,  0
A,  100,  0,  60,  8,  0,  17.5667,  890.92,  890.92,  0,  0
A,  100,  0,  60,  20,  90,  60,  6457.69,  7381.82,  0,  0
A,  100,  0,  60,  20,  40.6012,  60,  2930.65,  4300.04,  0,  0
A,  100,  0,  60,  20,  28.1257,  59.4,  1775.42,  2985.51,  0.555556,  0
A,  100,  0,  60,  20,  11.5757,  36.1,  486.9,  796.018,  10,  0
A,  100,  0,  60,  20,  8.01411,  29.3667,  539.659,  871.87,  2.22222,  0
A,  100,  0,  60,  20,  4.2937,  22.4,  727.6,  727.6,  0,  0
A,  100,  0,  60,  20,  3.73078,  21.8,  712.705,  712.705,  0,  0
A,  100,  0,  60,  20,  0,  17.5667,  890.92,  890.92,  0,  0
A,  100,  0,  60,  60,  90,  60,  6562.5,  7483.13,  0,  0
A,  100,  0,  60,  60,  40.6012,  60,  2975.44,  4425.83,  0,  0
A,  100,  0,  60,  60,  28.1257,  59.4,  1764.83,  2952.29,  0.555556,  0
A,  100,  0,  60,  60,  11.5757,  36.1,  486.9,  796.018,  10,  0
A,  100,  0,  60,  60,  8.01411,  29.3667,  539.659,  871.87,  2.22222,  0
A,  100,  0,  60,  60,  4.2937,  22.4,  727.6,  727.6,  0,  0
A,  100,  0,  60,  60,  3.73078,  21.8,  712.705,  712.705,  0,  0
A,  100,  0,  60,  60,  0,  17.5667,  890.92,  890.92,  0,  0
A,  100,  0,  60,  100,  90,  60,  6562.5,  7483.13,  0,  0
A,  100,  0,  60,  100,  40.6012,  60,  2975.44,  4425.83,  0,  0
