@RELATION param

@ATTRIBUTE Type {A, B, C, D}
@ATTRIBUTE Size {100,200}
@ATTRIBUTE Budget {20,60,100,140,420,820,1220,2020,4020}
@ATTRIBUTE Instance STRING

@ATTRIBUTE Diversificaion {TRUE, FALSE}
@ATTRIBUTE PopSize {1,2,8,20,60,80,100,200,400,800,1000}
@ATTRIBUTE Info {0, 3.73078, 4.2937, 8.01411, 11.5757, 28.1257,40.6012, 90}
@ATTRIBUTE AVG_dist NUMERIC
@ATTRIBUTE MaxMin NUMERIC
@ATTRIBUTE PR NUMERIC

@DATA
A, 100, 20, T0, FALSE, 2, 0, 892.829, 892.829, 0
A, 100, 20, T1, FALSE, 2, 3.73078, 682.704, 682.704, 6.66667
A, 100, 20, T2, FALSE, 2, 4.2937, 538.624, 573.186, 1.66667
A, 100, 20, T3, FALSE, 2, 3.73078, 379.748, 423.409, 0
A, 100, 20, T4, FALSE, 2, 3.73078, 608.341, 775.534, 6.66667
A, 100, 60, T0, TRUE, 2, 11.5757, 380.192, 708.745, 28.8889
A, 100, 60, T1, TRUE, 2, 11.5757, 230.296, 453.581, 30.6667
A, 100, 60, T2, FALSE, 8, 4.2937, 517.439, 553.78, 5
A, 100, 60, T3, TRUE, 2, 3.73078, 204.313, 242.237, 6.66667
A, 100, 60, T4, TRUE, 2, 11.5757, 247.258, 444.482, 22.2222
A, 100, 100, T0, TRUE, 2, 11.5757, 380.192, 708.745, 28.8889
A, 100, 100, T1, TRUE, 2, 11.5757, 230.296, 453.581, 30.6667
A, 100, 100, T2, FALSE, 8, 4.2937, 517.439, 553.78, 5
A, 100, 100, T3, TRUE, 2, 3.73078, 204.313, 242.237, 6.66667
A, 100, 100, T4, TRUE, 2, 11.5757, 247.258, 444.482, 22.2222
A, 100, 140, T0, TRUE, 8, 11.5757, 254.448, 521.73, 41.1111
A, 100, 140, T1, TRUE, 8, 11.5757, 151.72, 342.89, 45.3333
A, 100, 140, T2, TRUE, 8, 4.2937, 350.735, 379.658, 31.6667
A, 100, 140, T3, TRUE, 8, 3.73078, 179.629, 215.271, 25
A, 100, 140, T4, FALSE, 8, 28.1257, 187.634, 536.856, 25.641
A, 100, 420, T0, TRUE, 20, 11.5757, 103.123, 233.86, 74.4445
A, 100, 420, T1, TRUE, 20, 11.5757, 43.9029, 111.633, 74.6667
A, 100, 420, T2, TRUE, 20, 8.01411, 103.907, 118.04, 66.6667
A, 100, 420, T3, TRUE, 20, 4.2937, 72.8096, 86.7479, 63.3333
A, 100, 420, T4, TRUE, 20, 11.5757, 57.3616, 133.927, 64.4444
A, 100, 820, T0, TRUE, 20, 11.5757, 86.1552, 199.858, 75.5556
A, 100, 820, T1, TRUE, 20, 11.5757, 37.8448, 91.6932, 76
A, 100, 820, T2, TRUE, 20, 8.01411, 84.5731, 96.081, 73.3333
A, 100, 820, T3, TRUE, 20, 4.2937, 72.8096, 86.7479, 63.3333
A, 100, 820, T4, TRUE, 20, 11.5757, 55.1117, 132.815, 65.5555
A, 100, 1220, T0, TRUE, 60, 11.5757, 4.99011, 14.9703, 98.8889
A, 100, 1220, T1, TRUE, 60, 11.5757, 21.6491, 61.6329, 85.3333
A, 100, 1220, T2, TRUE, 60, 4.2937, 24.5372, 29.2506, 91.6667
A, 100, 1220, T3, TRUE, 60, 8.01411, 14.9829, 29.934, 95.5555
A, 100, 1220, T4, TRUE, 60, 11.5757, 44.4322, 104.292, 74.4444
A, 100, 2020, T0, TRUE, 60, 11.5757, 0, 0, 100
A, 100, 2020, T1, TRUE, 100, 3.73078, 0, 0, 100
A, 100, 2020, T2, TRUE, 60, 8.01411, 0, 0, 100
A, 100, 2020, T3, TRUE, 100, 8.01411, 6.70798, 11.2399, 95.5555
A, 100, 2020, T4, TRUE, 60, 11.5757, 24.4282, 73.2846, 85.5556
A, 100, 4020, T0, TRUE, 60, 11.5757, 0, 0, 100
A, 100, 4020, T1, TRUE, 100, 3.73078, 0, 0, 100
A, 100, 4020, T2, TRUE, 60, 8.01411, 0, 0, 100
A, 100, 4020, T3, TRUE, 100, 8.01411, 5.22021, 6.77659, 96.6667
A, 100, 4020, T4, TRUE, 100, 4.2937, 5.63728, 11.2746, 96.6667
