@RELATION eval  
   
@ATTRIBUTE Type NUMERIC 
@ATTRIBUTE Size {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA
0,100,0.0,0.0,0.0,1.0,0,0.231,0.436,0.0,0
0,100,0.0,0.0,0.0,0.451,0,0.183,0.309,0.0,0
0,100,0.0,0.0,0.0,0.313,0,0.165,0.262,0.0,0
0,100,0.0,0.0,0.0,0.129,0,0.099,0.116,0.0,0
0,100,0.0,0.0,0.0,0.089,0,0.079,0.097,0.0,0
0,100,0.0,0.0,0.0,0.048,0,0.065,0.065,0.0,0
0,100,0.0,0.0,0.0,0.041,0,0.063,0.062,0.0,0
0,100,0.0,0.0,0.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.0,0.061,1.0,0,0.557,0.599,0.0,0
0,100,0.0,0.0,0.061,0.451,0,0.43,0.499,0.0,0
0,100,0.0,0.0,0.061,0.313,0,0.327,0.384,0.0,0
0,100,0.0,0.0,0.061,0.129,0,0.135,0.15,0.0,0
0,100,0.0,0.0,0.061,0.089,0,0.101,0.116,0.0,0
0,100,0.0,0.0,0.061,0.048,0,0.071,0.07,0.0,0
0,100,0.0,0.0,0.061,0.041,0,0.07,0.07,0.0,0
0,100,0.0,0.0,0.061,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.0,0.184,1.0,0,0.619,0.661,0.0,0
0,100,0.0,0.0,0.184,0.451,0,0.432,0.497,0.0,0
0,100,0.0,0.0,0.184,0.313,0,0.341,0.4,0.0,0
0,100,0.0,0.0,0.184,0.129,0,0.135,0.15,0.0,0
0,100,0.0,0.0,0.184,0.089,0,0.101,0.116,0.0,0
0,100,0.0,0.0,0.184,0.048,0,0.071,0.07,0.0,0
0,100,0.0,0.0,0.184,0.041,0,0.07,0.07,0.0,0
0,100,0.0,0.0,0.184,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.0,0.592,1.0,0,0.615,0.656,0.0,0
0,100,0.0,0.0,0.592,0.451,0,0.432,0.497,0.0,0
0,100,0.0,0.0,0.592,0.313,0,0.341,0.4,0.0,0
0,100,0.0,0.0,0.592,0.129,0,0.135,0.15,0.0,0
0,100,0.0,0.0,0.592,0.089,0,0.101,0.116,0.0,0
0,100,0.0,0.0,0.592,0.048,0,0.071,0.07,0.0,0
0,100,0.0,0.0,0.592,0.041,0,0.07,0.07,0.0,0
0,100,0.0,0.0,0.592,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.0,1.0,1.0,0,0.615,0.656,0.0,0
0,100,0.0,0.0,1.0,0.451,0,0.432,0.497,0.0,0
0,100,0.0,0.0,1.0,0.313,0,0.341,0.4,0.0,0
0,100,0.0,0.0,1.0,0.129,0,0.135,0.15,0.0,0
0,100,0.0,0.0,1.0,0.089,0,0.101,0.116,0.0,0
0,100,0.0,0.0,1.0,0.048,0,0.071,0.07,0.0,0
0,100,0.0,0.0,1.0,0.041,0,0.07,0.07,0.0,0
0,100,0.0,0.0,1.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.005,0.0,1.0,0,0.091,0.35,0.011,0
0,100,0.0,0.005,0.0,0.451,0,0.065,0.213,0.028,0
0,100,0.0,0.005,0.0,0.313,0,0.055,0.174,0.018,0
0,100,0.0,0.005,0.0,0.129,0,0.035,0.055,0.044,0
0,100,0.0,0.005,0.0,0.089,0,0.035,0.055,0.022,0
0,100,0.0,0.005,0.0,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.005,0.0,0.041,0,0.046,0.046,0.0,0
0,100,0.0,0.005,0.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.005,0.061,1.0,0,0.253,0.408,0.0,0
0,100,0.0,0.005,0.061,0.451,0,0.162,0.287,0.002,0
0,100,0.0,0.005,0.061,0.313,0,0.102,0.188,0.006,0
0,100,0.0,0.005,0.061,0.129,0,0.031,0.051,0.1,0
0,100,0.0,0.005,0.061,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.005,0.061,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.005,0.061,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.005,0.061,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.005,0.184,1.0,0,0.41,0.466,0.0,0
0,100,0.0,0.005,0.184,0.451,0,0.186,0.272,0.0,0
0,100,0.0,0.005,0.184,0.313,0,0.113,0.189,0.006,0
0,100,0.0,0.005,0.184,0.129,0,0.031,0.05,0.1,0
0,100,0.0,0.005,0.184,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.005,0.184,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.005,0.184,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.005,0.184,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.005,0.592,1.0,0,0.417,0.473,0.0,0
0,100,0.0,0.005,0.592,0.451,0,0.189,0.28,0.0,0
0,100,0.0,0.005,0.592,0.313,0,0.112,0.187,0.006,0
0,100,0.0,0.005,0.592,0.129,0,0.031,0.05,0.1,0
0,100,0.0,0.005,0.592,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.005,0.592,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.005,0.592,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.005,0.592,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.005,1.0,1.0,0,0.417,0.473,0.0,0
0,100,0.0,0.005,1.0,0.451,0,0.189,0.28,0.0,0
0,100,0.0,0.005,1.0,0.313,0,0.112,0.187,0.006,0
0,100,0.0,0.005,1.0,0.129,0,0.031,0.05,0.1,0
0,100,0.0,0.005,1.0,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.005,1.0,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.005,1.0,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.005,1.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.01,0.0,1.0,0,0.077,0.315,0.023,0
0,100,0.0,0.01,0.0,0.451,0,0.065,0.213,0.028,0
0,100,0.0,0.01,0.0,0.313,0,0.055,0.174,0.018,0
0,100,0.0,0.01,0.0,0.129,0,0.035,0.055,0.044,0
0,100,0.0,0.01,0.0,0.089,0,0.035,0.055,0.022,0
0,100,0.0,0.01,0.0,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.01,0.0,0.041,0,0.046,0.046,0.0,0
0,100,0.0,0.01,0.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.01,0.061,1.0,0,0.133,0.38,0.001,0
0,100,0.0,0.01,0.061,0.451,0,0.071,0.201,0.029,0
0,100,0.0,0.01,0.061,0.313,0,0.044,0.141,0.071,0
0,100,0.0,0.01,0.061,0.129,0,0.031,0.051,0.122,0
0,100,0.0,0.01,0.061,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.01,0.061,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.01,0.061,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.01,0.061,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.01,0.184,1.0,0,0.289,0.385,0.0,0
0,100,0.0,0.01,0.184,0.451,0,0.104,0.193,0.021,0
0,100,0.0,0.01,0.184,0.313,0,0.055,0.144,0.058,0
0,100,0.0,0.01,0.184,0.129,0,0.03,0.051,0.122,0
0,100,0.0,0.01,0.184,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.01,0.184,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.01,0.184,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.01,0.184,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.01,0.592,1.0,0,0.331,0.398,0.0,0
0,100,0.0,0.01,0.592,0.451,0,0.103,0.188,0.021,0
0,100,0.0,0.01,0.592,0.313,0,0.054,0.144,0.058,0
0,100,0.0,0.01,0.592,0.129,0,0.03,0.051,0.122,0
0,100,0.0,0.01,0.592,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.01,0.592,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.01,0.592,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.01,0.592,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.01,1.0,1.0,0,0.332,0.398,0.0,0
0,100,0.0,0.01,1.0,0.451,0,0.103,0.188,0.021,0
0,100,0.0,0.01,1.0,0.313,0,0.054,0.144,0.058,0
0,100,0.0,0.01,1.0,0.129,0,0.03,0.051,0.122,0
0,100,0.0,0.01,1.0,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.01,1.0,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.01,1.0,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.01,1.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.015,0.0,1.0,0,0.078,0.315,0.024,0
0,100,0.0,0.015,0.0,0.451,0,0.065,0.213,0.028,0
0,100,0.0,0.015,0.0,0.313,0,0.055,0.174,0.018,0
0,100,0.0,0.015,0.0,0.129,0,0.035,0.055,0.044,0
0,100,0.0,0.015,0.0,0.089,0,0.035,0.055,0.022,0
0,100,0.0,0.015,0.0,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.015,0.0,0.041,0,0.046,0.046,0.0,0
0,100,0.0,0.015,0.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.015,0.061,1.0,0,0.091,0.349,0.033,0
0,100,0.0,0.015,0.061,0.451,0,0.046,0.175,0.142,0
0,100,0.0,0.015,0.061,0.313,0,0.035,0.134,0.14,0
0,100,0.0,0.015,0.061,0.129,0,0.031,0.051,0.122,0
0,100,0.0,0.015,0.061,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.015,0.061,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.015,0.061,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.015,0.061,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.015,0.184,1.0,0,0.205,0.34,0.0,0
0,100,0.0,0.015,0.184,0.451,0,0.06,0.154,0.069,0
0,100,0.0,0.015,0.184,0.313,0,0.039,0.132,0.113,0
0,100,0.0,0.015,0.184,0.129,0,0.03,0.051,0.122,0
0,100,0.0,0.015,0.184,0.089,0,0.034,0.055,0.022,0
