@RELATION eval  
   
@ATTRIBUTE Type  {A, B, C, D} 
@ATTRIBUTE Size  {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
A, 100, 0, 0.01, 0.02, 1.00, 20.00, 0.23, 0.44, 0.00, 0
A, 100, 0, 0.01, 0.02, 0.45, 20.00, 0.18, 0.31, 0.00, 0
A, 100, 0, 0.01, 0.02, 0.31, 20.00, 0.16, 0.26, 0.00, 0
A, 100, 0, 0.01, 0.02, 0.13, 19.93, 0.10, 0.12, 0.00, 0
A, 100, 0, 0.01, 0.02, 0.09, 20.00, 0.08, 0.10, 0.00, 0
A, 100, 0, 0.01, 0.02, 0.05, 19.67, 0.07, 0.06, 0.00, 0
A, 100, 0, 0.01, 0.02, 0.04, 19.43, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.01, 0.02, 0.00, 17.53, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.01, 0.08, 1.00, 20.00, 0.56, 0.60, 0.00, 0
A, 100, 0, 0.01, 0.08, 0.45, 20.00, 0.43, 0.50, 0.00, 0
A, 100, 0, 0.01, 0.08, 0.31, 20.00, 0.33, 0.38, 0.00, 0
A, 100, 0, 0.01, 0.08, 0.13, 20.00, 0.13, 0.15, 0.00, 0
A, 100, 0, 0.01, 0.08, 0.09, 20.00, 0.10, 0.12, 0.00, 0
A, 100, 0, 0.01, 0.08, 0.05, 19.67, 0.07, 0.07, 0.00, 0
A, 100, 0, 0.01, 0.08, 0.04, 19.47, 0.07, 0.07, 0.00, 0
A, 100, 0, 0.01, 0.08, 0.00, 17.53, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.01, 0.20, 1.00, 20.00, 0.62, 0.66, 0.00, 0
A, 100, 0, 0.01, 0.20, 0.45, 20.00, 0.43, 0.50, 0.00, 0
A, 100, 0, 0.01, 0.20, 0.31, 20.00, 0.34, 0.40, 0.00, 0
A, 100, 0, 0.01, 0.20, 0.13, 20.00, 0.13, 0.15, 0.00, 0
A, 100, 0, 0.01, 0.20, 0.09, 20.00, 0.10, 0.12, 0.00, 0
A, 100, 0, 0.01, 0.20, 0.05, 19.67, 0.07, 0.07, 0.00, 0
A, 100, 0, 0.01, 0.20, 0.04, 19.47, 0.07, 0.07, 0.00, 0
A, 100, 0, 0.01, 0.20, 0.00, 17.53, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.01, 0.61, 1.00, 20.00, 0.62, 0.66, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.45, 20.00, 0.43, 0.50, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.31, 20.00, 0.34, 0.40, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.13, 20.00, 0.13, 0.15, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.09, 20.00, 0.10, 0.12, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.05, 19.67, 0.07, 0.07, 0.00, 0
