n 100
c  w 
i 840 	 794 	 1568 	 1598
i 911 	 403 	 677 	 1538
i 279 	 1112 	 960 	 1261
i 366 	 1031 	 1904 	 1833
i 636 	 1437 	 291 	 1217
i 18 	 493 	 283 	 1610
i 158 	 807 	 268 	 226
i 998 	 444 	 1030 	 1679
i 613 	 599 	 1278 	 1053
i 494 	 1945 	 592 	 1545
i 527 	 1542 	 806 	 1784
i 284 	 711 	 1617 	 1838
i 71 	 1899 	 1056 	 181
i 193 	 1329 	 1781 	 704
i 66 	 49 	 920 	 135
i 239 	 1941 	 1805 	 1703
i 268 	 1084 	 756 	 1522
i 513 	 1338 	 1067 	 88
i 438 	 1864 	 1862 	 1444
i 285 	 1479 	 1283 	 714
i 688 	 340 	 885 	 1761
i 829 	 667 	 465 	 1787
i 351 	 1376 	 1913 	 1181
i 657 	 1718 	 884 	 1848
i 399 	 1631 	 1371 	 1822
i 483 	 439 	 1901 	 1841
i 149 	 1763 	 1285 	 869
i 620 	 569 	 1574 	 621
i 448 	 459 	 383 	 559
i 557 	 838 	 347 	 1814
i 104 	 260 	 995 	 1523
i 984 	 1870 	 1372 	 772
i 750 	 743 	 595 	 472
i 585 	 496 	 313 	 1466
i 127 	 1589 	 336 	 1492
i 76 	 1900 	 114 	 1047
i 177 	 487 	 1597 	 1467
i 657 	 1935 	 1282 	 1521
i 95 	 278 	 1045 	 165
i 71 	 417 	 928 	 1641
i 574 	 1513 	 113 	 324
i 999 	 416 	 1781 	 259
i 997 	 117 	 1742 	 153
i 6 	 1846 	 1191 	 368
i 164 	 789 	 1826 	 1641
i 360 	 1109 	 1163 	 910
i 688 	 208 	 1066 	 1517
i 305 	 1984 	 1158 	 1756
i 748 	 1261 	 80 	 1498
i 833 	 1851 	 1747 	 1663
i 979 	 1490 	 1807 	 1967
i 667 	 999 	 336 	 1661
i 889 	 163 	 1302 	 503
i 630 	 465 	 1404 	 640
i 330 	 470 	 157 	 1269
i 225 	 1305 	 1026 	 1943
i 281 	 1096 	 1441 	 235
i 472 	 1189 	 1889 	 907
i 337 	 1696 	 874 	 16
i 346 	 1200 	 1668 	 475
i 676 	 971 	 969 	 616
i 712 	 373 	 1247 	 91
i 415 	 1395 	 1351 	 1278
i 348 	 377 	 1222 	 1258
i 731 	 663 	 1483 	 412
i 921 	 1372 	 1309 	 521
i 533 	 184 	 528 	 1755
i 686 	 196 	 231 	 729
i 577 	 1190 	 1336 	 584
i 776 	 583 	 665 	 387
i 984 	 17 	 1656 	 669
i 189 	 878 	 1917 	 1838
i 765 	 1401 	 251 	 1374
i 385 	 1550 	 1886 	 1833
i 862 	 415 	 1589 	 1100
i 298 	 1810 	 1820 	 1749
i 499 	 1156 	 333 	 555
i 864 	 989 	 932 	 1699
i 496 	 589 	 369 	 1371
i 728 	 286 	 1210 	 989
i 838 	 1451 	 364 	 451
i 499 	 251 	 285 	 727
i 326 	 1864 	 1817 	 1247
i 837 	 1638 	 997 	 676
i 395 	 1321 	 1221 	 525
i 152 	 154 	 224 	 1297
i 364 	 583 	 669 	 191
i 428 	 1869 	 1171 	 538
i 659 	 1525 	 979 	 322
i 883 	 1255 	 1040 	 423
i 558 	 858 	 1661 	 794
i 245 	 658 	 1461 	 1280
i 984 	 683 	 1796 	 280
i 411 	 20 	 1568 	 1551
i 295 	 238 	 1732 	 1444
i 51 	 903 	 1973 	 1418
i 212 	 953 	 1731 	 196
i 101 	 771 	 610 	 1317
i 809 	 272 	 112 	 116
i 458 	 1563 	 1387 	 890
c c
W 9956
c end of file

