n 101
c  w 
i 16 	 14 	 21
i 10 	 26 	 32
i 6 	 25 	 31
i 4 	 19 	 14
i 16 	 24 	 26
i 15 	 11 	 24
i 14 	 16 	 10
i 9 	 10 	 33
i 15 	 29 	 32
i 23 	 14 	 21
i 13 	 29 	 25
i 24 	 13 	 17
i 22 	 19 	 32
i 19 	 21 	 16
i 23 	 13 	 31
i 16 	 27 	 33
i 6 	 17 	 14
i 6 	 25 	 14
i 4 	 15 	 33
i 2 	 14 	 12
i 12 	 26 	 32
i 4 	 25 	 11
i 11 	 22 	 20
i 8 	 16 	 32
i 15 	 14 	 10
i 11 	 30 	 28
i 10 	 34 	 10
i 14 	 15 	 26
i 18 	 18 	 32
i 16 	 18 	 11
i 19 	 30 	 27
i 17 	 32 	 17
i 19 	 17 	 30
i 6 	 24 	 11
i 4 	 13 	 16
i 5 	 24 	 11
i 22 	 33 	 11
i 23 	 21 	 16
i 15 	 14 	 24
i 12 	 30 	 33
i 14 	 24 	 28
i 7 	 16 	 25
i 14 	 10 	 33
i 9 	 15 	 23
i 11 	 17 	 26
i 16 	 21 	 16
i 18 	 18 	 15
i 19 	 16 	 27
i 2 	 31 	 31
i 15 	 18 	 26
i 14 	 31 	 16
i 7 	 11 	 22
i 22 	 25 	 23
i 20 	 33 	 28
i 9 	 18 	 11
i 2 	 10 	 22
i 8 	 27 	 30
i 13 	 21 	 11
i 6 	 22 	 33
i 2 	 12 	 16
i 18 	 25 	 12
i 24 	 31 	 14
i 12 	 28 	 29
i 2 	 24 	 28
i 19 	 33 	 12
i 20 	 33 	 12
i 8 	 15 	 30
i 4 	 28 	 16
i 5 	 33 	 29
i 4 	 34 	 31
i 9 	 27 	 21
i 11 	 26 	 18
i 15 	 13 	 12
i 10 	 13 	 26
i 4 	 32 	 24
i 6 	 26 	 23
i 9 	 33 	 29
i 4 	 10 	 22
i 11 	 15 	 21
i 5 	 17 	 20
i 2 	 26 	 13
i 12 	 12 	 29
i 20 	 27 	 32
i 21 	 11 	 11
i 14 	 14 	 33
i 4 	 19 	 24
i 16 	 27 	 23
i 11 	 30 	 24
i 23 	 15 	 29
i 10 	 19 	 12
i 20 	 19 	 28
i 23 	 31 	 30
i 18 	 25 	 22
i 16 	 22 	 24
i 17 	 10 	 28
i 15 	 13 	 13
i 6 	 29 	 31
i 18 	 14 	 26
i 9 	 12 	 32
i 4 	 21 	 16
i 6 	 17 	 26
c c
W 12
c end of file

