c Instance Type k
c
n 300
c w	 v1	 v2
i 370	 740 	 234 
i 366	 830 	 208 
i 951	 285 	 730 
i 363	 161 	 893 
i 160	 585 	 500 
i 712	 116 	 842 
i 118	 741 	 249 
i 355	 872 	 128 
i 16	 49 	 928 
i 34	 97 	 813 
i 270	 467 	 592 
i 643	 833 	 192 
i 337	 784 	 298 
i 914	 147 	 766 
i 690	 307 	 724 
i 618	 19 	 972 
i 913	 137 	 865 
i 369	 492 	 484 
i 873	 507 	 479 
i 394	 540 	 465 
i 451	 810 	 289 
i 249	 453 	 613 
i 876	 790 	 232 
i 788	 704 	 348 
i 861	 394 	 518 
i 519	 12 	 896 
i 293	 925 	 39 
i 807	 295 	 747 
i 195	 168 	 775 
i 629	 562 	 490 
i 162	 13 	 951 
i 161	 262 	 642 
i 992	 138 	 924 
i 609	 925 	 90 
i 372	 786 	 296 
i 441	 306 	 778 
i 529	 599 	 470 
i 753	 406 	 522 
i 470	 600 	 361 
i 692	 230 	 844 
i 455	 392 	 685 
i 28	 552 	 376 
i 54	 544 	 412 
i 869	 154 	 787 
i 389	 525 	 574 
i 302	 966 	 40 
i 227	 496 	 584 
i 77	 250 	 710 
i 222	 719 	 362 
i 533	 412 	 514 
i 407	 866 	 139 
i 294	 894 	 21 
i 441	 948 	 95 
i 726	 817 	 238 
i 936	 206 	 754 
i 933	 508 	 445 
i 237	 735 	 318 
i 138	 812 	 90 
i 445	 34 	 964 
i 354	 567 	 361 
i 492	 973 	 1 
i 22	 267 	 814 
i 104	 708 	 363 
i 729	 434 	 600 
i 509	 371 	 704 
i 814	 305 	 672 
i 86	 541 	 382 
i 852	 678 	 409 
i 869	 124 	 969 
i 605	 477 	 529 
i 752	 968 	 67 
i 766	 990 	 85 
i 674	 94 	 899 
i 531	 823 	 260 
i 205	 332 	 625 
i 85	 146 	 872 
i 473	 232 	 694 
i 596	 84 	 965 
i 531	 953 	 137 
i 500	 558 	 424 
i 37	 310 	 666 
i 546	 77 	 888 
i 323	 750 	 242 
i 808	 282 	 675 
i 727	 486 	 538 
i 18	 571 	 482 
i 612	 44 	 999 
i 747	 640 	 275 
i 560	 172 	 734 
i 498	 672 	 346 
i 912	 708 	 372 
i 295	 255 	 841 
i 669	 578 	 467 
i 136	 386 	 515 
i 426	 113 	 886 
i 49	 131 	 782 
i 816	 742 	 179 
i 815	 489 	 561 
i 898	 50 	 988 
i 935	 547 	 472 
i 529	 459 	 501 
i 434	 754 	 257 
i 415	 423 	 503 
i 146	 559 	 445 
i 159	 984 	 73 
i 657	 34 	 968 
i 727	 849 	 152 
i 840	 665 	 434 
i 594	 564 	 344 
i 520	 499 	 519 
i 118	 29 	 876 
i 424	 462 	 599 
i 984	 876 	 69 
i 124	 23 	 973 
i 647	 181 	 873 
i 285	 838 	 223 
i 52	 565 	 465 
i 561	 405 	 558 
i 560	 999 	 89 
i 607	 519 	 457 
i 202	 637 	 344 
i 255	 61 	 979 
i 62	 46 	 963 
i 292	 169 	 885 
i 81	 816 	 274 
i 853	 101 	 957 
i 660	 153 	 817 
i 317	 713 	 339 
i 638	 273 	 779 
i 523	 880 	 75 
i 906	 83 	 984 
i 319	 337 	 758 
i 192	 399 	 504 
i 942	 690 	 247 
i 715	 770 	 130 
i 669	 624 	 297 
i 461	 285 	 666 
i 817	 601 	 494 
i 579	 240 	 709 
i 341	 762 	 162 
i 621	 669 	 272 
i 539	 987 	 61 
i 517	 180 	 909 
i 542	 122 	 905 
i 735	 837 	 143 
i 744	 506 	 399 
i 854	 967 	 42 
i 117	 785 	 298 
i 92	 364 	 566 
i 341	 704 	 379 
i 470	 326 	 691 
i 681	 864 	 150 
i 230	 382 	 668 
i 178	 923 	 155 
i 815	 658 	 384 
i 223	 403 	 540 
i 255	 258 	 678 
i 571	 374 	 720 
i 489	 466 	 500 
i 646	 806 	 101 
i 566	 277 	 695 
i 155	 958 	 32 
i 730	 188 	 834 
i 486	 365 	 641 
i 363	 181 	 757 
i 78	 403 	 616 
i 299	 658 	 412 
i 487	 229 	 716 
i 461	 718 	 320 
i 798	 365 	 634 
i 840	 930 	 132 
i 208	 86 	 950 
i 439	 815 	 269 
i 53	 302 	 655 
i 588	 664 	 329 
i 783	 742 	 332 
i 382	 42 	 932 
i 238	 529 	 522 
i 467	 989 	 53 
i 162	 788 	 280 
i 664	 628 	 426 
i 442	 836 	 235 
i 179	 275 	 759 
i 103	 327 	 768 
i 392	 915 	 118 
i 861	 699 	 276 
i 734	 81 	 895 
i 265	 319 	 771 
i 25	 785 	 303 
i 502	 947 	 111 
i 345	 611 	 360 
i 119	 54 	 875 
i 977	 232 	 761 
i 652	 334 	 725 
i 628	 726 	 316 
i 269	 587 	 394 
i 651	 322 	 676 
i 76	 586 	 476 
i 30	 611 	 407 
i 972	 114 	 894 
i 703	 458 	 472 
i 63	 577 	 363 
i 258	 554 	 433 
i 728	 207 	 847 
i 525	 834 	 165 
i 238	 103 	 813 
i 649	 754 	 227 
i 142	 829 	 269 
i 953	 858 	 162 
i 549	 830 	 213 
i 93	 534 	 400 
i 248	 596 	 454 
i 456	 853 	 107 
i 895	 582 	 420 
i 668	 107 	 861 
i 168	 344 	 645 
i 254	 993 	 21 
i 662	 136 	 769 
i 657	 89 	 979 
i 262	 638 	 406 
i 980	 731 	 219 
i 157	 978 	 104 
i 910	 434 	 607 
i 219	 330 	 627 
i 733	 998 	 40 
i 81	 166 	 881 
i 532	 420 	 626 
i 736	 83 	 975 
i 770	 739 	 352 
i 663	 2 	 958 
i 386	 981 	 38 
i 644	 139 	 821 
i 497	 50 	 960 
i 205	 269 	 643 
i 494	 2 	 903 
i 889	 83 	 858 
i 629	 614 	 416 
i 362	 350 	 696 
i 231	 120 	 874 
i 188	 782 	 212 
i 782	 169 	 822 
i 108	 812 	 207 
i 412	 310 	 719 
i 151	 515 	 568 
i 219	 9 	 990 
i 286	 898 	 201 
i 518	 527 	 495 
i 172	 889 	 203 
i 907	 120 	 795 
i 382	 307 	 765 
i 858	 89 	 816 
i 317	 197 	 872 
i 914	 609 	 321 
i 561	 759 	 275 
i 477	 978 	 83 
i 394	 264 	 751 
i 393	 782 	 138 
i 6	 953 	 146 
i 968	 861 	 61 
i 52	 243 	 741 
i 917	 102 	 900 
i 951	 419 	 622 
i 799	 333 	 629 
i 956	 894 	 20 
i 629	 372 	 538 
i 311	 765 	 198 
i 890	 159 	 760 
i 997	 164 	 746 
i 994	 133 	 950 
i 111	 185 	 746 
i 534	 102 	 849 
i 47	 53 	 950 
i 756	 852 	 49 
i 75	 808 	 273 
i 152	 437 	 518 
i 207	 747 	 160 
i 526	 638 	 301 
i 627	 635 	 337 
i 683	 630 	 369 
i 599	 740 	 296 
i 758	 275 	 781 
i 20	 322 	 745 
i 699	 79 	 944 
i 712	 153 	 846 
i 619	 304 	 783 
i 898	 511 	 525 
i 942	 37 	 906 
i 145	 664 	 427 
i 511	 347 	 669 
i 11	 946 	 50 
i 694	 705 	 314 
i 479	 725 	 359 
i 317	 425 	 474 
i 7	 137 	 792 
i 505	 756 	 235 
i 441	 655 	 438 
i 124	 597 	 303 
i 445	 742 	 291 
i 402	 253 	 649 
i 987	 263 	 829 
c
c
W 72786
c end of file
