c Instance Type o
c
n 100
c w	 v1	 v2
i 1056	 188 	 734 
i 910	 836 	 66 
i 1240	 238 	 815 
i 1207	 916 	 139 
i 977	 383 	 559 
i 1022	 766 	 288 
i 950	 442 	 526 
i 968	 964 	 105 
i 1039	 538 	 489 
i 904	 363 	 643 
i 1012	 983 	 84 
i 963	 820 	 191 
i 919	 341 	 718 
i 1205	 309 	 733 
i 767	 191 	 727 
i 1231	 780 	 292 
i 857	 201 	 759 
i 758	 658 	 294 
i 1125	 906 	 156 
i 809	 437 	 496 
i 1094	 682 	 247 
i 1032	 48 	 995 
i 869	 429 	 533 
i 1216	 581 	 443 
i 893	 489 	 573 
i 1193	 613 	 405 
i 955	 511 	 547 
i 993	 755 	 234 
i 897	 772 	 198 
i 1053	 430 	 628 
i 1051	 622 	 373 
i 1049	 536 	 468 
i 1175	 10 	 994 
i 1026	 280 	 726 
i 848	 262 	 641 
i 1209	 340 	 687 
i 1027	 280 	 648 
i 960	 524 	 556 
i 1014	 36 	 955 
i 862	 355 	 565 
i 1178	 843 	 202 
i 895	 485 	 467 
i 878	 100 	 854 
i 1109	 28 	 942 
i 1210	 577 	 485 
i 967	 940 	 24 
i 1049	 896 	 90 
i 1116	 646 	 445 
i 993	 848 	 250 
i 907	 408 	 561 
i 766	 763 	 174 
i 969	 596 	 439 
i 1111	 953 	 114 
i 925	 266 	 794 
i 1166	 114 	 861 
i 876	 985 	 37 
i 970	 496 	 446 
i 1083	 155 	 917 
i 1051	 717 	 325 
i 1122	 956 	 17 
i 902	 302 	 774 
i 1092	 375 	 620 
i 992	 712 	 273 
i 968	 323 	 716 
i 1144	 488 	 574 
i 869	 468 	 591 
i 855	 603 	 355 
i 832	 173 	 816 
i 1060	 702 	 230 
i 1099	 226 	 697 
i 1112	 99 	 884 
i 980	 164 	 895 
i 1099	 906 	 99 
i 1039	 426 	 640 
i 861	 749 	 214 
i 875	 454 	 603 
i 912	 481 	 496 
i 1126	 725 	 287 
i 1133	 834 	 118 
i 826	 656 	 341 
i 1016	 597 	 420 
i 968	 422 	 628 
i 1154	 725 	 306 
i 972	 461 	 455 
i 1251	 896 	 170 
i 1058	 143 	 814 
i 911	 189 	 864 
i 1082	 528 	 470 
i 1156	 315 	 650 
i 1085	 267 	 830 
i 840	 342 	 674 
i 1026	 840 	 60 
i 1035	 138 	 907 
i 998	 945 	 29 
i 874	 588 	 328 
i 1019	 551 	 394 
i 965	 305 	 678 
i 1269	 450 	 639 
i 863	 161 	 790 
i 911	 140 	 865 
c
c
W 50453
c end of file
