c Instance Type k
c
n 100
c w	 v1	 v2
i 530	 931 	 17 
i 352	 425 	 596 
i 345	 280 	 623 
i 890	 711 	 204 
i 22	 903 	 51 
i 740	 449 	 622 
i 281	 547 	 393 
i 410	 77 	 978 
i 527	 600 	 405 
i 449	 821 	 209 
i 627	 351 	 666 
i 732	 703 	 198 
i 340	 48 	 894 
i 363	 938 	 0 
i 443	 960 	 126 
i 703	 700 	 270 
i 562	 980 	 108 
i 771	 391 	 704 
i 650	 918 	 105 
i 180	 368 	 611 
i 836	 995 	 78 
i 423	 728 	 262 
i 436	 68 	 915 
i 727	 431 	 556 
i 730	 874 	 105 
i 637	 577 	 341 
i 991	 140 	 775 
i 892	 911 	 89 
i 871	 561 	 416 
i 449	 741 	 310 
i 848	 577 	 473 
i 599	 1 	 947 
i 52	 436 	 573 
i 553	 164 	 931 
i 992	 894 	 176 
i 392	 531 	 454 
i 491	 522 	 491 
i 571	 415 	 580 
i 43	 286 	 621 
i 433	 735 	 321 
i 191	 584 	 387 
i 943	 183 	 788 
i 424	 234 	 825 
i 972	 787 	 304 
i 952	 779 	 291 
i 806	 171 	 805 
i 238	 661 	 420 
i 808	 233 	 730 
i 291	 276 	 745 
i 334	 708 	 260 
i 118	 898 	 187 
i 478	 841 	 80 
i 838	 265 	 703 
i 635	 238 	 687 
i 595	 190 	 891 
i 449	 995 	 8 
i 834	 233 	 815 
i 742	 42 	 996 
i 65	 332 	 617 
i 673	 666 	 425 
i 17	 783 	 288 
i 944	 261 	 778 
i 54	 100 	 992 
i 398	 734 	 205 
i 528	 330 	 647 
i 438	 778 	 198 
i 518	 613 	 410 
i 260	 355 	 676 
i 235	 420 	 678 
i 484	 93 	 933 
i 442	 110 	 877 
i 299	 54 	 953 
i 996	 108 	 952 
i 959	 506 	 501 
i 160	 34 	 982 
i 550	 472 	 556 
i 936	 989 	 28 
i 556	 249 	 773 
i 217	 484 	 421 
i 210	 967 	 16 
i 869	 410 	 536 
i 311	 709 	 248 
i 15	 705 	 273 
i 817	 665 	 415 
i 354	 825 	 262 
i 222	 375 	 606 
i 867	 312 	 667 
i 127	 867 	 162 
i 740	 85 	 838 
i 773	 295 	 623 
i 899	 164 	 837 
i 136	 474 	 468 
i 425	 488 	 596 
i 823	 306 	 711 
i 726	 659 	 323 
i 663	 881 	 176 
i 73	 748 	 171 
i 470	 874 	 219 
i 118	 615 	 294 
i 249	 389 	 579 
c
c
W 26074
c end of file
