c Instance Type o
c
n 150
c w	 v1	 v2
i 994	 857 	 106 
i 1103	 834 	 90 
i 927	 646 	 309 
i 1157	 961 	 114 
i 887	 266 	 644 
i 830	 817 	 209 
i 933	 634 	 402 
i 766	 54 	 847 
i 1081	 591 	 456 
i 1022	 328 	 734 
i 1122	 399 	 634 
i 1178	 979 	 60 
i 803	 926 	 26 
i 1102	 357 	 564 
i 765	 64 	 897 
i 994	 508 	 429 
i 996	 520 	 545 
i 1013	 764 	 312 
i 840	 927 	 81 
i 1216	 515 	 544 
i 978	 917 	 36 
i 760	 640 	 294 
i 806	 489 	 431 
i 922	 619 	 373 
i 1085	 573 	 431 
i 1063	 584 	 321 
i 1100	 230 	 780 
i 1004	 558 	 404 
i 780	 901 	 48 
i 1222	 982 	 89 
i 866	 875 	 160 
i 865	 438 	 524 
i 1006	 505 	 556 
i 1114	 721 	 263 
i 988	 49 	 999 
i 970	 752 	 264 
i 1238	 649 	 413 
i 876	 374 	 599 
i 1013	 980 	 32 
i 844	 60 	 879 
i 1135	 939 	 20 
i 870	 19 	 948 
i 739	 277 	 636 
i 1055	 640 	 418 
i 1064	 467 	 601 
i 848	 818 	 200 
i 1102	 205 	 742 
i 926	 145 	 878 
i 1031	 404 	 615 
i 1147	 907 	 126 
i 1185	 172 	 847 
i 1015	 114 	 908 
i 1100	 374 	 704 
i 945	 441 	 565 
i 809	 933 	 0 
i 1177	 425 	 638 
i 714	 501 	 402 
i 990	 390 	 542 
i 911	 649 	 365 
i 1155	 181 	 814 
i 1052	 966 	 87 
i 898	 881 	 171 
i 729	 365 	 561 
i 1040	 920 	 104 
i 1019	 270 	 732 
i 1031	 461 	 626 
i 941	 247 	 740 
i 1086	 276 	 789 
i 856	 921 	 85 
i 1073	 166 	 865 
i 907	 68 	 936 
i 809	 566 	 434 
i 938	 681 	 393 
i 1154	 690 	 368 
i 812	 233 	 678 
i 879	 775 	 228 
i 1105	 137 	 916 
i 891	 522 	 386 
i 1245	 77 	 994 
i 962	 204 	 721 
i 826	 810 	 129 
i 1118	 69 	 960 
i 1022	 93 	 892 
i 880	 255 	 671 
i 1012	 996 	 38 
i 1114	 251 	 676 
i 1050	 443 	 512 
i 1152	 74 	 965 
i 1174	 532 	 543 
i 1067	 467 	 448 
i 875	 61 	 982 
i 1230	 279 	 813 
i 820	 3 	 901 
i 932	 596 	 365 
i 1137	 982 	 36 
i 1187	 429 	 582 
i 788	 398 	 501 
i 724	 136 	 778 
i 1189	 919 	 109 
i 1108	 668 	 245 
i 1078	 550 	 376 
i 1119	 630 	 352 
i 1142	 476 	 506 
i 785	 768 	 133 
i 1105	 197 	 901 
i 869	 995 	 44 
i 901	 937 	 133 
i 952	 160 	 931 
i 1178	 185 	 890 
i 1136	 90 	 913 
i 1102	 78 	 837 
i 1014	 959 	 102 
i 1058	 804 	 135 
i 1217	 704 	 389 
i 1065	 914 	 30 
i 822	 433 	 498 
i 737	 509 	 409 
i 752	 587 	 363 
i 1140	 739 	 248 
i 976	 499 	 507 
i 1029	 333 	 688 
i 911	 302 	 711 
i 952	 684 	 290 
i 880	 483 	 431 
i 1130	 294 	 804 
i 1081	 99 	 885 
i 1222	 326 	 760 
i 842	 375 	 628 
i 967	 382 	 569 
i 880	 265 	 786 
i 990	 692 	 225 
i 879	 214 	 764 
i 964	 461 	 453 
i 1097	 908 	 107 
i 1149	 324 	 746 
i 941	 906 	 185 
i 779	 648 	 307 
i 1062	 489 	 541 
i 1043	 587 	 319 
i 999	 128 	 831 
i 1175	 201 	 897 
i 775	 883 	 57 
i 900	 137 	 896 
i 1106	 764 	 250 
i 1113	 470 	 609 
i 1075	 170 	 890 
i 1117	 295 	 695 
i 1077	 356 	 732 
i 1027	 937 	 86 
i 1156	 780 	 251 
c
c
W 74723
c end of file
