n 500
c  w 
i 1307 	 2664 	 1092 	 2826
i 658 	 1227 	 4410 	 1538
i 804 	 3527 	 1083 	 3482
i 1544 	 1520 	 3796 	 4802
i 1060 	 4288 	 3382 	 1958
i 771 	 1696 	 3483 	 755
i 212 	 3346 	 3179 	 2705
i 1427 	 177 	 446 	 1838
i 1131 	 1529 	 4655 	 4470
i 1097 	 4065 	 1008 	 4749
i 1036 	 2081 	 3232 	 1455
i 1436 	 2029 	 1258 	 1245
i 525 	 4630 	 3193 	 3239
i 529 	 1677 	 3985 	 1852
i 7 	 2165 	 4547 	 3583
i 931 	 4983 	 421 	 164
i 603 	 77 	 4624 	 4248
i 1652 	 633 	 3998 	 1726
i 1081 	 2231 	 3172 	 1298
i 1700 	 4420 	 2533 	 569
i 1620 	 727 	 3799 	 377
i 956 	 2784 	 2220 	 2408
i 1975 	 1767 	 992 	 2272
i 699 	 1403 	 2426 	 3254
i 587 	 2051 	 2503 	 604
i 1069 	 1502 	 2320 	 381
i 1488 	 493 	 1669 	 2974
i 1961 	 4192 	 3533 	 3955
i 1963 	 2332 	 4322 	 2304
i 45 	 1543 	 4703 	 57
i 1319 	 695 	 2319 	 52
i 834 	 4736 	 3297 	 3550
i 713 	 801 	 4144 	 4453
i 916 	 1465 	 4824 	 1017
i 778 	 1494 	 3981 	 1852
i 272 	 2515 	 807 	 596
i 1935 	 130 	 2890 	 4945
i 663 	 2594 	 4992 	 4954
i 1311 	 2312 	 4997 	 368
i 818 	 3295 	 3908 	 3826
i 1634 	 3053 	 3280 	 1379
i 1803 	 3105 	 2387 	 1456
i 1835 	 1368 	 3298 	 276
i 1549 	 4095 	 862 	 3712
i 1685 	 3743 	 3658 	 879
i 533 	 3651 	 833 	 4607
i 383 	 830 	 4965 	 3002
i 1646 	 3874 	 1829 	 3202
i 769 	 110 	 4572 	 1436
i 1281 	 1959 	 2882 	 2795
i 1326 	 1180 	 3061 	 2192
i 108 	 3914 	 905 	 4482
i 1062 	 4553 	 361 	 3986
i 1281 	 1184 	 3593 	 4158
i 801 	 3559 	 2161 	 1121
i 972 	 3981 	 4314 	 4352
i 1632 	 3886 	 788 	 2287
i 336 	 3661 	 82 	 4154
i 1932 	 3134 	 1347 	 108
i 818 	 2242 	 4580 	 4697
i 717 	 4932 	 3683 	 4990
i 445 	 2277 	 4149 	 3112
i 333 	 1311 	 4224 	 3261
i 115 	 3538 	 2614 	 4363
i 968 	 3392 	 1650 	 3260
i 820 	 1723 	 2415 	 1885
i 1939 	 3752 	 1984 	 1896
i 396 	 1565 	 1594 	 2780
i 597 	 278 	 2771 	 2604
i 1017 	 1921 	 716 	 3373
i 1288 	 4931 	 1635 	 3504
i 1387 	 4239 	 2868 	 894
i 1051 	 4509 	 4145 	 4676
i 491 	 1560 	 1561 	 1080
i 123 	 3536 	 2967 	 1298
i 38 	 4551 	 4069 	 1588
i 1927 	 1840 	 4183 	 2365
i 1500 	 4890 	 738 	 1974
i 1928 	 2363 	 479 	 3291
i 639 	 3337 	 4175 	 4225
i 1137 	 3321 	 3901 	 4069
i 1948 	 463 	 150 	 185
i 1595 	 3107 	 1473 	 4081
i 1062 	 542 	 670 	 2478
i 948 	 4843 	 4833 	 1125
i 1893 	 572 	 3090 	 4554
i 1169 	 3560 	 2846 	 4519
i 757 	 2021 	 3745 	 4734
i 135 	 2647 	 3804 	 214
i 1239 	 3944 	 390 	 2090
i 819 	 1854 	 1172 	 4700
i 953 	 1832 	 2178 	 4750
i 668 	 2012 	 876 	 1409
i 1029 	 3957 	 964 	 502
i 1005 	 3800 	 22 	 4405
i 327 	 3757 	 4140 	 1154
i 560 	 2944 	 1359 	 4495
i 754 	 1740 	 1586 	 3931
i 1433 	 2748 	 3631 	 971
i 1828 	 810 	 722 	 1246
i 1124 	 1589 	 2645 	 389
i 216 	 3599 	 881 	 3053
i 959 	 894 	 2459 	 3212
i 1856 	 1599 	 4356 	 1046
i 1813 	 716 	 542 	 1423
i 977 	 2118 	 354 	 1031
i 1942 	 3976 	 1992 	 4427
i 1910 	 2705 	 673 	 2591
i 1713 	 3309 	 2970 	 4820
i 762 	 3842 	 2874 	 4299
i 1890 	 333 	 2511 	 4368
i 767 	 1868 	 414 	 1456
i 1028 	 946 	 2870 	 21
i 1221 	 3215 	 1042 	 2912
i 875 	 3025 	 2339 	 1969
i 290 	 3003 	 4550 	 14
i 523 	 2521 	 4825 	 3211
i 543 	 2699 	 2510 	 1089
i 1208 	 22 	 457 	 4935
i 750 	 862 	 1391 	 4445
i 718 	 4252 	 4456 	 4845
i 986 	 499 	 2757 	 4649
i 1405 	 97 	 1619 	 4235
i 1235 	 1170 	 4240 	 4393
i 1472 	 4066 	 2604 	 45
i 705 	 115 	 1125 	 4778
i 49 	 1573 	 4713 	 1998
i 969 	 1105 	 1443 	 4215
i 141 	 899 	 4060 	 2816
i 554 	 1818 	 2466 	 4894
i 760 	 4075 	 4129 	 4986
i 96 	 3370 	 4379 	 3917
i 973 	 1983 	 3953 	 4192
i 834 	 78 	 3971 	 2207
i 655 	 3685 	 4195 	 4058
i 1912 	 638 	 3273 	 139
i 610 	 2334 	 2946 	 2908
i 1656 	 412 	 2802 	 1048
i 1790 	 1932 	 1034 	 4713
i 119 	 413 	 3631 	 2730
i 953 	 2585 	 1922 	 4467
i 1060 	 894 	 1674 	 4285
i 1827 	 870 	 3343 	 4351
i 598 	 1617 	 4481 	 3017
i 1576 	 2427 	 926 	 3085
i 1130 	 3718 	 4123 	 2307
i 258 	 158 	 2020 	 943
i 222 	 652 	 3663 	 2939
i 1290 	 586 	 2406 	 881
i 586 	 4071 	 167 	 1040
i 1972 	 3501 	 392 	 1430
i 45 	 4863 	 4438 	 4051
i 915 	 364 	 2136 	 120
i 1628 	 1259 	 2417 	 4713
i 561 	 4428 	 656 	 1959
i 30 	 4310 	 4889 	 3299
i 1954 	 2295 	 4170 	 1357
i 545 	 4328 	 2388 	 1298
i 1131 	 2770 	 2719 	 2938
i 1052 	 2157 	 1990 	 4915
i 1003 	 4116 	 36 	 1585
i 148 	 2443 	 1298 	 1774
i 747 	 1945 	 3724 	 1943
i 500 	 3613 	 243 	 1142
i 362 	 4404 	 2490 	 2266
i 1492 	 4868 	 3555 	 1562
i 1054 	 1274 	 4491 	 273
i 1368 	 1481 	 189 	 934
i 237 	 215 	 2509 	 963
i 1058 	 3797 	 2728 	 4511
i 295 	 1452 	 1455 	 1988
i 24 	 1688 	 3121 	 965
i 435 	 611 	 3221 	 4814
i 190 	 1776 	 1377 	 3108
i 1215 	 868 	 3372 	 1463
i 934 	 3551 	 2387 	 2927
i 1502 	 4886 	 3880 	 1405
i 1473 	 1609 	 917 	 4418
i 1219 	 2362 	 1406 	 3107
i 1615 	 4518 	 4062 	 133
i 49 	 2284 	 4937 	 599
i 1620 	 1315 	 3698 	 2091
i 868 	 2071 	 3545 	 4503
i 247 	 932 	 2430 	 4369
i 325 	 1311 	 775 	 4493
i 1163 	 1682 	 3911 	 961
